Scam Record,Content
1,"My wife does this all the time.
Scammy: We need to repair the operating system on your computer.
Wife: Ok, I don’t know anything about computers so you will have to help me.
Scammy: Go to your computer.
Wife: I am there
Scammy: Go into your windows.
WIfe: Ok but I thought we were fixing my computer?
Scammy: We are:"
2,"I might be a little biased, but as an Asana employee, I believe Asana is the best project management tool. With Asana, my entire team has a central source of truth so they know exactly who’s doing what by when. We can track all of our tasks and stay aligned on our team goals. This has been especially important recently, since it’s enabled our team to manage shifting priorities and take any new challenges in stride.
Every team is different, so your team might not use Asana exactly like my team does. But every team can benefit from more clarity, coordination, and collaboration at work. Here are f"
3,"Ok so there will be some Spanglish in this one because it wasn't me who got the call but my grandma.
Just to give you guys a bit of back story: so my grandma straight up came from Mexico without being able to read and no educational background so she is pretty vulgar when she speaks. She also had 20 children but only 9 remain. All of her children are fully grown with families and kids of their own.
So there is this common phone scam that Mexicans do where they will look up mainly Spanish speaking people’s number and tell the receiver that they are a cousin. The scammer says “do you recognize my"
4,"My FAVORITE calls, by far! I figure the few minutes it takes to frustrate the bejesus out of them enough to make them hang up is well worth the effort. As several others have indicated, it does tend to get you OFF their call lists! For some reason, my mother is always taken in by these idiots, so turnabout is fair play. The Microsoft guys are my favorite ones to play with, since I work in the telecom industry.
Caller (with strong middle eastern accent) introduces himself as a rep from Microsoft, and they have detected a virus in my computer. Probably a good thing they can’t see me, because my e"
5,"Absolutely! I must admit, I am not the best at messing with scammers, but I've had a couple good moments. One time a scammer called about my Windows computer being compromised and requiring immediate attention (this is the most common scam). On this occasion, I decided to only speak in less than mediocre Serbian to this guy to see for how long he would hold out. To my amazement, while he never spoke any Serbian back to me, he actually understood almost everything I spoke to him and remained confident. Then at some point, he passed me along to his supervisor, with whom I continued to speak in b"
6,"I had a run of “Windows Support” calls over several weeks. On one occasion I strung them on for nearly 40 minutes, but that’s another story.
This particular night I was in the middle of cooking dinner, and in a rush. Phone rings with a withheld number. I answer it, and hear “Sir, we are calling from Windows Support, you have very bad virus.”
I quickly wailed down the phone “I don’t wanna diiiiiiieeeeee” and added fake sobbing on the end.
He quickly stammered “No no no, not you sir, your computer have very bad virus.”
I roared down the phone “how dare you tell me I have a bad virus and make me thin"
7,"Original question: Have you ever received a scam phone call and played along with the scammer only for them to hang up?
Most times I don’t, sometimes I do. The most glorious and rather unexpected triumph was when I pissed a so called “Microsoft” scammer off to the extend that, on a bitter tone and apparently through clenched teeth, he said: “May I ask you one more question?”
Being curious I returned: “Sure, go ahead”.
And then it came: “Do you often f*ck your mother?”
My instant reply: “No. Only yours” put him into a screaming fit that after a couple of happy seconds I disconnected with a profound"
8,"I got this call almost everyday sometimes multiples, lower your interest rate bla bla bla. It was a recording and I was tired of it.
When the recording said push 3 for assistance I did. I was hoping to ask to be put on their do no call list. I got a man with a thick foreign accent, who claims he is Stanley.
I tell him I received calls so many times and I am not interested could I please be put on their do not call list? He asks me to hold. He comes back and asks me to repeat what I had said. I repeated to put me on the do not call list.
Up till then he used a sing song type voice very happy go lu"
9,"Adware is a type of malware that invades your computer and changes the settings of your browser without your knowledge or permission.
After installing, adware redirects you to other websites and reroutes your searches. Then your browser displays annoying pop-ups and advertisements, or constantly displays intrusive ads.
Typically, adware infects your PC through third-party apps, browser extensions, or fake software update notifications.
As soon as adware is installed, it can cause irreparable damage by stealing sensitive information like your credit card information, passwords, etc. You may also n"
10,"I keep an old laptop setup just for scammers who phone me on a regular basis as I work form home. I have removed all my personal stuff and populated the files with interesting things for them including some porn photos+videos and a file with fake bank account numbers and passwords.
I let them get in via Teamviewer and enjoy listing to their bullshit and watching them steal my planted files.
I usually manage to spin them along for an hour giving false credit card info etc until they eventually catch on. When one guy realized, he activated my webcam (which is taped over) and showed me his penis.
I"
11,"There is a scam that people pretend that they are your colleague from a remote office and try to have you let them in to do something. No idea what they actually want, as never had the patience to listen to them. Anyhow I got the usual call from an unknown number. Heavy accent.
-Hey, this is Microsoft, Microsoft, Illes, Illes from Microsoft?
-Yes what can I do for you?
-It is … from Microsoft America
Scammers. If any of you out there. Please do your homework. There is no such thing as Microsoft America. And even if there was, no one would use the name in an initial introduction. You are always usi"
12,"Yes. It happened today. I received a robocall telling me that a package I was about to receive was confiscated by the federal government and they found drugs, cash, and contraband in the package and to press number one to speak to somebody. So I pressed number one and with a very good Spanish accent had a conversation with the gentleman on the other end of the line. I asked him where my two kilos of cocaine were that had been shipped to me from Columbia (sorry Colombia no offense). Told him that my brother had paid $300,000 Colombian pesos in Bogota for 5-day shipping. I started speaking Spani"
13,"Hell yeh! I love stringing them along and see how long it takes before THEY hang up on me. I’m aware that if they call me and if they’re unable to scam money out of me, it deprives them that time for them to pull the scam on someone else. Here’s a few that I’ve experienced first hand …
Bogus call from the Australian Taxation Office or ATO (ie. equivalent to the IRS in the USA): They start off with a recorded message saying they're from the ATO and you are being sued blah blah blah ... So I hung up on them and decided to call them back. A guy with an Indian accent answers, and says something ind"
14,"Yes.
I received several calls back to back when I was first moving to my new address, so I was already aggravated. This guy wanted my credit card/bank info so that he could “send” me the prize money that I had apparently won. The conversation went like this:
Scammer: Hello? Am I speaking with Angelica Black?
Me: Yes, who’s this?
Scammer: I’m Edward from (I forget where, it was back in June of last year. He also had a very strong Middle Eastern/Indian accent.)
Me: Ok, what do you want? (Normally, I’m not rude, but I was moving and already kinda peeved off.)"
15,"I routinely get phone calls telling me that they have been trying to get in touch with me, and that this is my last chance to take advantage of the offer to extend my car’s warranty. They ask me to give them the year, make, and model of my vehicle and I will be given an offer to buy an extended warranty. So, I hesitate momentarily and then I tell the caller that I don’t think that the company will offer me a warranty on my car. Then I am told that they will make that determination. I tell the caller that I have 4 cars and I ask which car they have been trying to get in touch with me about. I g"
